profile,seed,success,fault,baseline_errors,baseline_symbols,baseline_ber,trained_errors,trained_symbols,trained_ber,trained_ber_95_upper,ctle_code,dfe_tap_codes,ideal_dfe_tap_codes,max_tap_code_error,training_windows,return_code
short,1,True,none,0,500000,0,0,500000,0,6e-06,2,"[1, -7, 2]","[1, -7, 2]",0,6,0
short,2,True,none,0,500000,0,0,500000,0,6e-06,2,"[1, -7, 2]","[1, -7, 2]",0,14,0
short,3,True,none,0,500000,0,0,500000,0,6e-06,2,"[1, -7, 2]","[1, -7, 2]",0,6,0
short,4,True,none,0,500000,0,0,500000,0,6e-06,2,"[1, -7, 2]","[1, -7, 2]",0,6,0
short,5,True,none,0,500000,0,0,500000,0,6e-06,2,"[1, -7, 2]","[1, -7, 2]",0,6,0
short,6,True,none,0,500000,0,0,500000,0,6e-06,2,"[1, -7, 2]","[1, -7, 2]",0,6,0
short,7,True,none,0,500000,0,0,500000,0,6e-06,2,"[1, -7, 2]","[1, -7, 2]",0,13,0
short,8,True,none,0,500000,0,0,500000,0,6e-06,2,"[1, -7, 2]","[1, -7, 2]",0,6,0
short,9,True,none,0,500000,0,0,500000,0,6e-06,2,"[1, -7, 2]","[1, -7, 2]",0,12,0
short,10,True,none,0,500000,0,0,500000,0,6e-06,2,"[1, -7, 2]","[1, -7, 2]",0,9,0
short,11,True,none,0,500000,0,0,500000,0,6e-06,2,"[1, -7, 2]","[1, -7, 2]",0,6,0
short,12,True,none,0,500000,0,0,500000,0,6e-06,2,"[1, -7, 2]","[1, -7, 2]",0,6,0
short,13,True,none,0,500000,0,0,500000,0,6e-06,2,"[1, -7, 2]","[1, -7, 2]",0,6,0
short,14,True,none,0,500000,0,0,500000,0,6e-06,2,"[1, -7, 2]","[1, -7, 2]",0,6,0
short,15,True,none,0,500000,0,0,500000,0,6e-06,2,"[1, -7, 2]","[1, -7, 2]",0,10,0
short,16,True,none,0,500000,0,0,500000,0,6e-06,2,"[1, -7, 2]","[1, -7, 2]",0,10,0
